sa0   NO   U540/A2
sa1   NO   U540/A1
sa0   NO   U540/A1
sa0   NO   U540/Z
sa0   --   U905/A2
sa0   NO   U539/A2
sa0   NO   U539/A1
sa0   NO   U539/A3
sa0   NO   U539/A4
sa1   NO   U539/Z
sa1   --   U539/A4
sa1   --   U539/A3
sa1   --   U539/A1
sa1   --   U539/A2
sa1   --   U538/A2
sa0   NO   U539/Z
sa0   --   U538/A2
sa1   NO   U538/A1
sa0   NO   U538/A1
sa1   NO   U906/Z
sa0   --   U906/A4
sa0   --   U906/A3
sa0   --   U906/A1
sa0   --   U906/A2
sa0   --   U905/Z
sa1   --   U905/A1
sa1   --   U905/A2
sa0   --   U904/Z
sa0   --   U902/Z
sa0   --   U903/Z
sa1   --   U538/Z
sa1   --   U540/Z
sa1   NO   U731/A3
sa1   NO   U610/A1
sa0   NO   U613/Z
sa1   --   U613/A
sa0   --   U632/A2
sa1   NO   U896/B2
sa1   NO   U896/A2
sa1   NO   U896/A1
sa0   NO   U896/A3
sa0   --   U896/A1
sa0   --   U896/A2
sa1   NO   U895/A2
sa1   NO   U895/A1
sa1   NO   U852/B2
sa1   NO   U852/A2
sa1   NO   U852/A3
sa0   NO   U852/A1
sa0   --   U852/A2
sa0   --   U852/A3
sa1   NO   U895/Z
sa0   --   U895/A1
sa0   --   U895/A2
sa1   --   U632/A3
sa1   NC   U630/Z
sa0   --   U630/A2
sa1   --   U630/A1
sa0   --   U630/A3
sa1   --   U898/A1
sa1   NC   U616/Z
sa0   --   U616/A1
sa0   --   U616/A2
sa0   --   U699/Z
sa1   --   U699/A
sa1   --   U898/A2
sa1   NO   U729/Z
sa0   --   U729/A4
sa0   --   U729/A3
sa0   --   U729/A1
sa0   --   U729/A2
sa0   --   U730/Z
sa0   --   U730/A3
sa0   --   U730/A1
sa0   --   U730/A2
sa0   --   U617/Z
sa1   --   U617/A
sa1   NO   U729/A2
sa1   NO   U729/A3
sa1   NO   U729/A4
sa1   NO   U951/A3
sa0   NO   U620/Z
sa1   --   U620/A
sa0   --   U642/A1
sa1   NO   U624/A1
sa0   NO   U625/Z
sa1   --   U625/A
sa1   NO   U625/Z
sa0   --   U625/A
sa1   NO   U626/A2
sa1   NO   U927/A2
sa0   NO   U926/A1
sa1   NO   U925/A2
sa1   NO   U925/A1
sa0   NO   U924/A1
sa0   NO   U924/Z
sa1   --   U924/A1
sa1   --   U924/A2
sa0   --   U927/B
sa0   NO   U927/A1
sa0   --   U927/A2
sa0   --   U923/Z
sa1   NO   U923/B1
sa1   --   U923/B2
sa0   NO   U923/A2
sa0   NO   U923/A1
sa1   NO   U923/A1
sa1   --   U923/A2
sa1   --   U923/A3
sa0   NO   U923/A3
sa1   NO   U679/A3
sa1   NO   U633/A1
sa1   NC   U633/Z
sa0   --   U633/A2
sa0   --   U633/A1
sa0   --   U680/Z
sa1   --   U680/A
sa1   --   U679/Z
sa0   --   U679/A2
sa0   --   U679/A1
sa0   --   U679/A3
sa0   --   U721/Z
sa1   --   U721/A
sa1   --   U634/A3
sa1   NO   U631/A2
sa0   NO   U631/A1
sa1   NO   U851/Z
sa0   --   U851/A
sa1   --   U631/A3
sa1   NO   U631/A4
sa1   NC   U631/Z
sa1   --   U631/A1
sa0   --   U631/A2
sa0   --   U631/A3
sa0   --   U631/A4
sa0   --   U851/Z
sa1   --   U851/A
sa1   --   U634/A1
sa1   NO   U640/A1
sa0   NO   U641/A1
sa1   NO   U641/Z
sa1   --   U641/A1
sa0   --   U641/A2
sa1   NO   U643/Z
sa0   --   U643/A
sa1   NO   U645/A1
sa1   NO   U672/A2
sa1   NO   U672/A1
sa0   NO   U673/Z
sa1   --   U673/A
sa0   NO   U701/Z
sa1   --   U701/A
sa0   --   U683/A2
sa1   NO   U683/Z
sa1   --   U683/A1
sa1   --   U683/A2
sa1   --   U701/Z
sa0   --   U701/A
sa1   NC   U698/Z
sa0   --   U698/A
sa0   NO   U704/A2
sa0   NO   U705/Z
sa1   --   U705/A
sa0   NC   U707/Z
sa1   --   U707/A1
sa1   --   U707/A2
sa0   NO   U707/A2
sa0   NO   U709/Z
sa1   --   U709/A
sa0   NC   U710/Z
sa1   --   U710/A1
sa1   --   U710/A2
sa0   NO   U710/A2
sa0   NO   U711/A1
sa0   NO   U712/Z
sa1   --   U712/A
sa0   --   U918/A2
sa0   NO   U921/Z
sa0   NO   U921/A2
sa0   NO   U921/A3
sa0   NO   U920/A1
sa1   NO   U921/B2
sa1   --   U921/B1
sa1   --   U920/Z
sa1   NO   U918/C
sa1   NO   U921/A3
sa1   --   U921/A1
sa1   --   U921/A2
sa1   --   U918/Z
sa0   --   U918/C
sa0   --   U918/B
sa0   NO   U918/A1
sa0   NO   U920/Z
sa1   --   U920/A1
sa1   --   U920/A2
sa1   --   U717/Z
sa0   --   U717/A
sa0   --   U921/B1
sa0   NO   U717/Z
sa1   --   U717/A
sa0   --   U920/A2
sa1   NO   U918/A1
sa1   --   U918/A2
sa1   --   U712/Z
sa0   --   U712/A
sa1   NO   U714/A2
sa1   NO   U724/A2
sa0   NO   U726/A2
sa1   NO   U841/Z
sa0   --   U841/A4
sa0   --   U841/A3
sa1   --   U841/A1
sa0   --   U841/A2
sa0   --   U728/Z
sa1   --   U728/A1
sa1   --   U728/A2
sa1   NO   U841/A3
sa0   NO   U732/Z
sa1   --   U732/A
sa0   --   U832/A2
sa1   NO   U832/B
sa1   NO   U922/Z
sa0   --   U922/A1
sa0   --   U922/A2
sa0   --   U741/Z
sa1   --   U741/A
sa1   NO   U741/Z
sa0   --   U741/A
sa1   --   U922/A2
sa1   NC   U744/Z
sa0   --   U744/A1
sa0   --   U744/A2
sa1   NO   U754/Z
sa0   --   U754/A
sa1   NO   U763/A1
sa1   NO   U770/Z
sa0   --   U770/A
sa1   NO   U785/A1
sa1   NO   U890/A1
sa0   NO   U808/Z
sa1   --   U808/A
sa1   NO   U948/Z
sa0   --   U948/A3
sa0   --   U948/A1
sa0   --   U948/A2
sa0   --   U814/Z
sa1   --   U814/A
sa1   NO   U948/A2
sa1   NO   U909/A2
sa1   NO   U899/A2
sa0   NO   U899/A1
sa0   --   U899/A2
